28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1315 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1316 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1317 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1318 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1319 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1320 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1321 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1322 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1323 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1324 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1325 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1326 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1327 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1328 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1329 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1330 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1331 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1332 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1333 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1334 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1335 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1336 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1337 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1338 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1339 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1340 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1341 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1342 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1343 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1344 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1345 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1346 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1347 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1348 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1349 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1350 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1351 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1352 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1353 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1354 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1355 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1356 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1357 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1358 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1359 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1360 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1361 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1362 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1363 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1364 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1365 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1366 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1367 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1368 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1369 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1370 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1371 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1372 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1373 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1374 sin payload válido; partes=['NoneType']
28-10-2025 20:54:18 - services.readers.mail_reader - ERROR - FETCH 1375 sin payload válido; partes=['NoneType']
